Rank,Meet_Year,LEAGUE_NAME,Meet_Name,Game_id,Game_Date,HomeTeam,AwayTeam,Field_Name,Audience_Qty,Audience_Away_Qty,Day
1,2025,K리그2,하나은행 K리그2 2025,112,2025/06/15,수원,인천,수원 월드컵,22625,3497,주말
2,2025,K리그2,하나은행 K리그2 2025,8,2025/03/01,인천,수원,인천 전용,18173,2489,주말
3,2025,K리그2,하나은행 K리그2 2025,227,2025/10/08,인천,수원,인천 전용,18134,2488, 
4,2025,K리그2,하나은행 K리그2 2025,25,2025/03/15,수원,충남아산,수원 월드컵,14099,221,주말
5,2025,K리그2,하나은행 K리그2 2025,61,2025/04/27,수원,성남,수원 월드컵,13948,842,주말
6,2025,K리그2,하나은행 K리그2 2025,184,2025/08/30,수원,성남,수원 월드컵,13736,1202,주말
7,2025,K리그2,하나은행 K리그2 2025,219,2025/10/04,수원,부천,수원 월드컵,13065,706,주말
8,2025,K리그2,하나은행 K리그2 2025,136,2025/07/12,수원,충북청주,수원 월드컵,12769,392,주말
9,2025,K리그2,하나은행 K리그2 2025,91,2025/05/25,수원,김포,수원 월드컵,12396,312,주말
10,2025,K리그2,하나은행 K리그2 2025,97,2025/06/01,수원,부천,수원 월드컵,12264,576,주말
11,2025,K리그2,하나은행 K리그2 2025,268,2025/11/23,인천,충북청주,인천 전용,12102,212,주말
12,2025,K리그2,하나은행 K리그2 2025,90,2025/05/25,인천,전남,인천 전용,12052,413,주말
13,2025,K리그2,하나은행 K리그2 2025,153,2025/07/27,수원,서울E,수원 월드컵,11929,285,주말
14,2025,K리그2,하나은행 K리그2 2025,66,2025/05/04,인천,김포,인천 전용,11792,626,주말
15,2025,K리그2,하나은행 K리그2 2025,246,2025/10/25,수원,전남,수원 월드컵,11740,522,주말
16,2025,K리그2,하나은행 K리그2 2025,124,2025/06/29,수원,부산,수원 월드컵,11467,423,주말
17,2025,K리그2,하나은행 K리그2 2025,164,2025/08/09,수원,안산,수원 월드컵,11348,221,주말
18,2025,K리그2,하나은행 K리그2 2025,39,2025/04/06,수원,경남,수원 월드컵,11343,205,주말
19,2025,K리그2,하나은행 K리그2 2025,204,2025/09/20,수원,경남,수원 월드컵,11318,138,주말
20,2025,K리그2,하나은행 K리그2 2025,251,2025/10/26,인천,경남,인천 전용,11156,75,주말
21,2025,K리그2,하나은행 K리그2 2025,104,2025/06/08,인천,부천,인천 전용,11007,827,주말
22,2025,K리그2,하나은행 K리그2 2025,4,2025/02/22,안산,수원,안산 와스타디움,10956,6595,주말
23,2025,K리그2,하나은행 K리그2 2025,77,2025/05/11,수원,천안,수원 월드컵,10664,251,주말
24,2025,K리그2,하나은행 K리그2 2025,206,2025/09/20,인천,김포,인천 전용,10328,338,주말
25,2025,K리그2,하나은행 K리그2 2025,67,2025/05/04,충북청주,수원,청주 종합,10149,2195,주말
26,2025,K리그2,하나은행 K리그2 2025,234,2025/10/12,수원,천안,수원 월드컵,10036,256,주말
27,2025,K리그2,하나은행 K리그2 2025,161,2025/08/02,천안,수원,천안 종합,9970,4150,주말
28,2025,K리그2,하나은행 K리그2 2025,190,2025/09/06,부산,수원,부산 구덕,9819,2493,주말
29,2025,K리그2,하나은행 K리그2 2025,22,2025/03/15,인천,서울E,인천 전용,9695,509,주말
30,2025,K리그2,하나은행 K리그2 2025,30,2025/03/29,수원,전남,수원 월드컵,9692,260,주말
31,2025,K리그2,하나은행 K리그2 2025,19,2025/03/09,서울E,수원,목동 종합,9644,3649,주말
32,2025,K리그2,하나은행 K리그2 2025,1,2025/02/22,인천,경남,인천 전용,9363,220,주말
33,2025,K리그2,하나은행 K리그2 2025,171,2025/08/16,인천,성남,인천 전용,9352,452,주말
34,2025,K리그2,하나은행 K리그2 2025,138,2025/07/13,인천,충남아산,인천 전용,9326,252,주말
35,2025,K리그2,하나은행 K리그2 2025,182,2025/08/24,화성,수원,화성 종합,9307,4881,주말
36,2025,K리그2,하나은행 K리그2 2025,113,2025/06/21,인천,화성,인천 전용,9245,204,주말
37,2025,K리그2,하나은행 K리그2 2025,52,2025/04/19,수원,화성,수원 월드컵,9238,196,주말
