Rank,Meet_Year,LEAGUE_NAME,Meet_Name,Game_id,Game_Date,HomeTeam,AwayTeam,Field_Name,Audience_Qty,Audience_Away_Qty,Day
1,2023,K리그1,하나원큐 K리그1 2023,32,2023/04/08,서울,대구,서울 월드컵,45007,1977,주말
2,2023,K리그1,하나원큐 K리그1 2023,62,2023/05/05,서울,전북,서울 월드컵,37008,4909, 
3,2023,K리그1,하나원큐 K리그1 2023,221,2023/11/25,서울,수원,서울 월드컵,36007,7996,주말
4,2023,K리그1,하나원큐 K리그1 2023,195,2023/10/08,서울,전북,서울 월드컵,33103,4405,주말
5,2023,K리그1,하나원큐 K리그1 2023,159,2023/08/19,울산,전북,울산 문수,30756,2564,주말
6,2023,K리그1,하나원큐 K리그1 2023,43,2023/04/22,서울,수원,서울 월드컵,30186,4139,주말
7,2023,K리그1,하나원큐 K리그1 2023,226,2023/12/03,울산,전북,울산 문수,28638,1808,주말
8,2023,K리그1,하나원큐 K리그1 2023,1,2023/02/25,울산,전북,울산 문수,28039,2037,주말
9,2023,K리그1,하나원큐 K리그1 2023,91,2023/06/03,전북,울산,전주 월드컵,27797,2979,주말
10,2023,K리그1,하나원큐 K리그1 2023,167,2023/08/27,서울,울산,서울 월드컵,27051,5000,주말
11,2023,K리그1,하나원큐 K리그1 2023,76,2023/05/14,울산,서울,울산 문수,26004,1311,주말
12,2023,K리그1,하나원큐 K리그1 2023,225,2023/12/02,수원,강원,수원 월드컵,24932,3398,주말
13,2023,K리그1,하나원큐 K리그1 2023,171,2023/09/02,수원,서울,수원 월드컵,22882,3491,주말
14,2023,K리그1,하나원큐 K리그1 2023,117,2023/07/01,서울,대전,서울 월드컵,22637,2232,주말
15,2023,K리그1,하나원큐 K리그1 2023,2,2023/02/25,서울,인천,서울 월드컵,22204,3216,주말
16,2023,K리그1,하나원큐 K리그1 2023,125,2023/07/08,전북,서울,전주 월드컵,21139,1245,주말
17,2023,K리그1,하나원큐 K리그1 2023,131,2023/07/12,대전,전북,대전 월드컵,20592,2511, 
18,2023,K리그1,하나원큐 K리그1 2023,16,2023/03/12,서울,울산,서울 월드컵,20549,2000,주말
19,2023,K리그1,하나원큐 K리그1 2023,80,2023/05/20,서울,제주,서울 월드컵,20338,852,주말
20,2023,K리그1,하나원큐 K리그1 2023,104,2023/06/10,울산,제주,울산 문수,20190,1883,주말
21,2023,K리그1,하나원큐 K리그1 2023,179,2023/09/17,서울,광주,서울 월드컵,20165,954,주말
22,2023,K리그1,하나원큐 K리그1 2023,112,2023/06/24,울산,대구,울산 문수,20070,1599,주말
23,2023,K리그1,하나원큐 K리그1 2023,10,2023/03/05,전북,수원,전주 월드컵,19660,1663,주말
24,2023,K리그1,하나원큐 K리그1 2023,109,2023/06/24,수원,서울,수원 월드컵,19513,3433,주말
25,2023,K리그1,하나원큐 K리그1 2023,208,2023/10/29,울산,대구,울산 문수,18933,2210,주말
