Meet_Year,LEAGUE_NAME,Round,Game_Datetime,Day,HomeTeam,AwayTeam,HomeDistance,AwayDistance,HomeSprint,AwaySprint,Audience_Qty,Weather,Temperature,Humidity
2025,J리그1,1,2025-02-15 14:03:00,일,神戸,浦和,106.637,107.215,89,108,22266,맑음,11.6,24
2025,J리그1,1,2025-02-14 19:03:00,일,Ｇ大阪,Ｃ大阪,117.384,124.714,131,105,34860,맑음,7.6,64
2025,J리그1,1,2025-02-15 14:03:00,일,横浜FM,新潟,120.452,123.322,105,106,32713,맑음,11.7,27
2025,J리그1,1,2025-02-15 14:03:00,일,横浜FC,FC東京,116.004,118.997,122,138,12195,맑음,14.9,26
2025,J리그1,1,2025-02-15 14:04:00,일,岡山,京都,122.217,121.177,162,148,14575,맑음,13,36
2025,J리그1,1,2025-02-15 15:03:00,일,湘南,鹿島,118.3,115.241,144,125,13025,맑음,12.3,44
2025,J리그1,1,2025-02-15 14:04:00,일,福岡,柏,120.819,118.001,110,124,9923,흐림 때때로 비,11,37
2025,J리그1,1,2025-02-15 15:03:00,일,川崎Ｆ,名古屋,114.312,110.815,129,133,23005,맑음,14.1,24
2025,J리그1,1,2025-02-16 14:03:00,일,東京Ｖ,清水,118.025,114.656,116,80,52541,맑음 후 흐림,17.4,28
2025,J리그1,2,2025-02-22 14:03:00,일,柏,川崎Ｆ,114.075,114.533,144,113,13695,흐림 후 맑음,9,20
2025,J리그1,1,2025-02-16 14:03:00,일,町田,広島,112.578,107.948,131,125,12773,맑음 후 흐림,15.7,37
2025,J리그1,2,2025-02-22 14:03:00,일,横浜FC,岡山,105.326,108.744,113,102,7274,맑음,8.8,27
2025,J리그1,2,2025-02-22 14:03:00,일,清水,新潟,119.982,112.975,112,92,18141,맑음,9.2,20
2025,J리그1,2,2025-02-22 14:03:00,일,名古屋,神戸,114.875,117.664,145,117,31088,晴のち曇時々雪,5.6,43
2025,J리그1,2,2025-02-22 14:03:00,일,京都,浦和,121.965,115.336,158,129,14718,흐림,4.5,74
2025,J리그1,2,2025-02-22 15:03:00,일,鹿島,東京Ｖ,120.502,118.862,134,142,26021,흐림 후 맑음,6.8,36
2025,J리그1,2,2025-02-22 15:03:00,일,FC東京,町田,126.598,126.059,157,146,29545,흐림 후 맑음,9.3,41
2025,J리그1,2,2025-02-22 15:03:00,일,Ｇ大阪,福岡,116.179,119.941,88,112,22614,맑음,6.3,45
2025,J리그1,2,2025-02-22 15:03:00,일,Ｃ大阪,湘南,118.506,118.487,116,135,16002,흐림 후 맑음,9.3,36
2025,J리그1,2,2025-02-23 14:03:00,일,広島,横浜FM,121.462,124.981,133,120,27123,흐림 후 비 후 흐림,5.9,60
2025,J리그1,3,2025-02-26 19:03:00,일,鹿島,新潟,120.094,120.578,123,121,12106,맑음,9.8,33
2025,J리그1,3,2025-02-26 19:03:00,일,柏,Ｃ大阪,126.253,130.119,131,124,8946,맑음,9.1,21
2025,J리그1,3,2025-02-26 19:03:00,일,FC東京,名古屋,122.318,119.245,142,126,14971,맑음,11.3,30
2025,J리그1,3,2025-02-26 19:03:00,일,町田,東京Ｖ,122.041,122.17,110,149,6825,맑음,9,35
2025,J리그1,3,2025-02-26 19:03:00,일,横浜FM,横浜FC,117.768,117.273,99,104,17115,맑음,10.6,20
2025,J리그1,3,2025-02-26 19:03:00,일,湘南,浦和,122.262,120.256,152,167,11351,맑음,10.8,31
2025,J리그1,3,2025-02-26 19:03:00,일,清水,広島,119.627,113.55,137,125,12238,맑음,10,20
2025,J리그1,3,2025-02-26 19:03:00,일,神戸,京都,116.776,121.938,121,149,11335,맑음,9.3,43
2025,J리그1,3,2025-02-26 19:01:00,일,岡山,Ｇ大阪,120.172,113.956,149,112,13555,맑음,8.5,62
2025,J리그1,3,2025-02-26 19:03:00,일,福岡,川崎Ｆ,117.283,115.295,114,119,7106,맑음,11,44
2025,J리그1,4,2025-03-01 13:04:00,일,横浜FM,湘南,115.383,115.333,126,120,25561,맑음,17.4,33
2025,J리그1,4,2025-03-01 14:03:00,일,鹿島,FC東京,109.794,107.618,127,112,21421,맑음,18,46
2025,J리그1,4,2025-03-01 15:03:00,일,川崎Ｆ,京都,106.137,113.672,134,143,22404,맑음,18.6,27
2025,J리그1,4,2025-03-01 15:03:00,일,神戸,福岡,110.151,111.465,85,98,20890,맑음,15.7,43
2025,J리그1,4,2025-03-02 14:03:00,일,東京Ｖ,Ｇ大阪,115.007,111.056,122,97,21260,맑음,20.3,32
2025,J리그1,4,2025-03-02 14:03:00,일,新潟,Ｃ大阪,123.831,121.974,146,129,22933,흐림 때때로 맑음,14,76
2025,J리그1,4,2025-03-02 14:03:00,일,名古屋,町田,110.723,109.934,107,101,34718,흐림,19.2,63
2025,J리그1,4,2025-03-02 14:03:00,일,岡山,清水,112.531,108.537,143,125,13330,비 후 흐림,16.9,79
2025,J리그1,4,2025-03-02 14:31:00,일,広島,横浜FC,109.991,110.002,102,106,25043,흐림,16.6,68
2025,J리그1,4,2025-03-02 15:03:00,일,浦和,柏,124.682,125.282,149,137,51009,맑음,19.8,24
2025,J리그1,5,2025-03-08 14:03:00,일,浦和,岡山,122.797,125.397,156,148,35269,흐림,7.4,53
2025,J리그1,5,2025-03-08 14:08:00,일,新潟,東京Ｖ,122.581,124.496,95,117,20503,흐림,7.6,46
2025,J리그1,5,2025-03-08 15:03:00,일,Ｇ大阪,清水,115.751,118.781,113,139,29071,비 때때로 흐림,10,52
2025,J리그1,5,2025-03-08 16:03:00,일,柏,鹿島,120.993,121.036,127,145,13309,흐림 후 비,6.2,59
2025,J리그1,5,2025-03-08 16:03:00,일,FC東京,湘南,120.124,120.521,143,139,19654,曇のち雨のち雪,8.1,52
2025,J리그1,5,2025-03-08 16:03:00,일,横浜FC,町田,118.31,120.917,125,125,7934,雨のち雪,3.6,84
2025,J리그1,5,2025-03-08 16:03:00,일,Ｃ大阪,名古屋,126.101,124.5,151,156,17171,흐림,10.2,48
2025,J리그1,5,2025-03-09 14:03:00,일,京都,福岡,113.166,112.9,145,136,11535,맑음,13.1,40
2025,J리그1,6,2025-03-15 14:03:00,일,東京Ｖ,名古屋,118.918,117.511,149,122,16300,흐림,11.4,28
2025,J리그1,6,2025-03-15 14:03:00,일,町田,新潟,119.561,122.499,121,116,10152,흐림 후 비,11.2,30
2025,J리그1,6,2025-03-15 14:03:00,일,横浜FC,Ｃ大阪,124.783,122.609,125,119,6431,흐림 후 비,11.6,35
2025,J리그1,6,2025-03-15 14:03:00,일,福岡,FC東京,123.625,117.821,145,125,7721,비 후 흐림,11.9,62
2025,J리그1,6,2025-03-16 13:03:00,일,清水,京都,114.481,123.814,180,173,14012,흐림,14.6,44
2025,J리그1,6,2025-03-16 14:03:00,일,鹿島,浦和,117.267,117.461,156,173,31574,비,11.5,90
2025,J리그1,6,2025-03-16 14:03:00,일,横浜FM,Ｇ大阪,121.202,117.055,101,100,23169,비,7.5,88
2025,J리그1,6,2025-03-16 14:03:00,일,岡山,川崎Ｆ,118.316,112.903,146,120,13699,비,10.6,90
2025,J리그1,6,2025-03-16 14:03:00,일,広島,柏,117.354,120.783,123,148,25283,흐림,13.1,40
2025,J리그1,6,2025-03-16 15:03:00,일,湘南,神戸,118.857,119.72,146,139,9537,흐림 후 비,10.2,72
2025,J리그1,7,2025-03-28 19:03:00,일,Ｃ大阪,浦和,127.72,124.071,158,175,18366,흐림,14.4,56
2025,J리그1,7,2025-03-29 13:00:00,일,岡山,横浜FM,117.026,110.344,157,121,14892,맑음,17.3,22
2025,J리그1,7,2025-03-29 13:03:00,일,清水,湘南,113.683,109.454,129,140,17684,흐림,14.4,41
2025,J리그1,7,2025-03-29 14:03:00,일,柏,東京Ｖ,121.02,125.9,154,154,11888,비 후 흐림,6.6,90
