season,game_id,date,day,stadium,home_team,home_score,away_team,away_score,home_shoot_total,home_shoot_ontarget,away_shoot_total,away_shoot_ontarget,home_corner,away_corner,home_offside,away_offside,home_possession,away_possession,home_foul,away_foul,home_yellow,away_yellow,home_red,away_red
2023,360094,2023-02-18 13:05:00,토,야마나시 추오 뱅크,반포레고후,1,야마가타,2,11,3,13,7,7,4,2,1,39,61,12,6,2,0,0,0
2023,360095,2023-02-18 14:00:00,토,J 빌리지 스타디움,이와키FC,2,후지에다,3,12,5,16,7,3,4,5,3,38,62,15,7,2,1,0,0
2023,360096,2023-02-18 14:00:00,토,야마하,주빌로이와타,2,오카야마,3,12,6,12,3,8,6,1,2,57,43,9,10,2,1,0,0
2023,360097,2023-02-18 14:00:00,토,쇼다 쇼유 스타디움,더스파쿠사츠,0,B아키타,0,4,1,16,1,2,9,0,1,53,47,13,13,0,2,0,0
2023,360098,2023-02-18 14:00:00,토,이신 미 라이프,R야마구치,1,오미야,0,8,3,11,2,3,8,5,5,54,46,13,7,0,2,0,0
2023,360099,2023-02-18 14:00:00,토,IAI  니혼다이라,시미즈S펄스,0,미토홀리호크,0,18,4,12,5,7,2,0,0,53,47,12,11,1,1,0,0
2023,360100,2023-02-18 14:00:00,토,트랜스코스모스 스타디움,V나가사키,0,제프지바,1,8,1,14,3,4,2,1,0,45,55,18,17,2,3,0,1
2023,360101,2023-02-19 14:00:00,일,마치다 기온,FC마치다,0,베갈타센다이,0,16,0,13,3,3,5,1,2,53,47,12,8,0,1,0,0
2023,360102,2023-02-19 14:00:00,일,포카리 스웨트,도쿠시마,1,오이타,2,11,2,9,2,3,2,2,2,54,46,17,14,1,3,0,0
2023,360103,2023-02-19 14:00:00,일,아지노모토,도쿄버디,1,가나자와,0,10,1,5,1,4,3,2,0,58,42,11,11,1,1,0,0
2023,360104,2023-02-19 16:00:00,일,도치기 그린 스타디움,도치기SC,1,롯소구마모토,1,12,3,7,2,8,1,1,1,45,55,17,10,0,1,0,1
2023,360105,2023-02-25 13:00:00,토,야마나시 추오 뱅크,반포레고후,1,도쿠시마,1,7,1,10,4,4,4,3,2,33,67,4,14,1,2,0,0
2023,360106,2023-02-25 14:00:00,토,후쿠다 덴시,제프지바,1,야마가타,3,17,5,12,3,6,5,4,2,50,50,16,16,1,1,0,0
2023,360107,2023-02-25 14:00:00,토,후지에다 종합운동장,후지에다,2,V나가사키,0,17,5,18,4,4,5,0,1,60,40,13,9,1,3,0,0
2023,360108,2023-02-25 14:00:00,토,NACK5 오미야,오미야,2,가나자와,0,21,9,6,1,7,5,1,5,55,45,10,6,1,1,0,0
2023,360109,2023-02-26 13:00:00,일,에가오 겐코 스타디움,롯소구마모토,0,B아키타,1,8,2,13,4,4,3,1,2,61,39,11,14,2,2,0,0
2023,360110,2023-02-26 13:00:00,일,시티 라이트,오카야마,0,시미즈S펄스,0,11,2,16,5,4,5,3,1,45,55,11,14,0,1,0,0
