Meet_Year,LEAGUE_NAME,Round,Game_Datetime,Day,HomeTeam,AwayTeam,Audience_Qty,Weather,Temperature,Humidity
2015,J리그1,1,2015-03-07 14:00:00,일,仙台,山形,19375,흐림,8.4,57
2015,J리그1,1,2015-03-07 14:00:00,일,広島,甲府,14671,흐림,8.9,85
2015,J리그1,1,2015-03-07 14:00:00,일,Ｇ大阪,FC東京,18332,비,9.3,81
2015,J리그1,1,2015-03-07 14:00:00,일,名古屋,松本,33558,흐림,13.4,50
2015,J리그1,1,2015-03-07 15:00:00,일,横浜FM,川崎Ｆ,38123,흐림,8.8,61
2015,J리그1,1,2015-03-07 19:00:00,일,湘南,浦和,14446,비,7.9,66
2015,J리그1,1,2015-03-07 14:00:00,일,鳥栖,新潟,11580,흐림,14.5,34
2015,J리그1,1,2015-03-07 16:00:00,일,神戸,柏,24027,실내,14.6,55
2015,J리그1,1,2015-03-08 13:00:00,일,清水,鹿島,19736,맑음,19.2,45
2015,J리그1,2,2015-03-13 19:00:00,일,柏,仙台,9082,맑음,9.8,43
2015,J리그1,2,2015-03-14 14:00:00,일,鹿島,湘南,17295,흐림 후 맑음,10.2,57
2015,J리그1,2,2015-03-14 13:00:00,일,新潟,清水,19537,흐림,5.9,61
2015,J리그1,2,2015-03-14 14:00:00,일,FC東京,横浜FM,30492,흐림,11.4,29
2015,J리그1,2,2015-03-14 14:00:00,일,甲府,名古屋,11851,흐림,10,26
2015,J리그1,2,2015-03-14 15:00:00,일,浦和,山形,40802,맑음,13.8,24
2015,J리그1,2,2015-03-14 15:00:00,일,川崎Ｆ,神戸,21689,흐림 후 맑음,12.9,27
2015,J리그1,2,2015-03-14 18:30:00,일,鳥栖,Ｇ大阪,17695,맑음,10.9,26
2015,J리그1,2,2015-03-14 19:00:00,일,松本,広島,17091,맑음,0.8,67
2015,J리그1,3,2015-03-22 14:00:00,일,甲府,Ｇ大阪,13047,흐림,17.8,32
2015,J리그1,3,2015-03-22 14:00:00,일,新潟,柏,18193,맑음,16.3,37
2015,J리그1,3,2015-03-22 14:00:00,일,清水,松本,19103,맑음,17.5,57
2015,J리그1,3,2015-03-22 14:00:00,일,広島,浦和,26302,맑음,18.1,33
