Meet_Year,LEAGUE_NAME,Round,Game_id,Game_Datetime,Day,HomeTeam,AwayTeam,HomeRank,AwayRank,HomePoints,AwayPoints,Field_Name,Audience_Qty,Weather,Temperature,Humidity,home_possession,home_attempts,home_on_target,home_fouls,home_yellow_cards,home_red_cards,home_double_yellow_cards,home_corners,home_free_kicks,home_offsides,away_possession,away_attempts,away_on_target,away_fouls,away_yellow_cards,away_red_cards,away_double_yellow_cards,away_corners,away_free_kicks,away_offsides,home_first_15_possession,home_first_30_possession,home_first_45_possession,home_second_15_possession,home_second_30_possession,home_second_45_possession,away_first_15_possession,away_first_30_possession,away_first_45_possession,away_second_15_possession,away_second_30_possession,away_second_45_possession
2015,K리그1,1,1,2015-03-07 15:00:00,토,전북,성남,0,0,0,0,전주 월드컵 경기장,23810,맑음,0.0,0,57.0,20.0,13.0,9.0,1.0,0.0,0.0,10.0,11.0,2.0,43.0,6.0,4.0,11.0,0.0,0.0,0.0,8.0,11.0,0.0,59.52,60.28,61.73,56.51,56.21,52.75,40.48,39.72,38.27,43.49,43.79,47.25
2015,K리그1,1,2,2015-03-07 14:00:00,토,인천,광주,0,0,0,0,인천 축구 전용경기장,8012,맑음,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,K리그1,1,3,2015-03-07 16:00:00,토,부산,대전,0,0,0,0,부산 아시아드 경기장,9082,맑음,9.0,15,51.0,16.0,7.0,21.0,2.0,0.0,0.0,3.0,21.0,0.0,49.0,2.0,0.0,17.0,2.0,0.0,0.0,4.0,18.0,1.0,50.96,51.13,52.49,48.95,54.37,49.6,49.04,48.87,47.51,51.05,45.63,50.4
2015,K리그1,1,4,2015-03-08 14:00:00,일,전남,제주,0,0,0,0,광양 전용 구장,12608,맑음,10.1,37,55.0,14.0,6.0,12.0,1.0,0.0,0.0,7.0,12.0,0.0,45.0,10.0,3.0,19.0,3.0,0.0,0.0,1.0,20.0,1.0,56.52,46.94,49.65,53.19,56.48,58.66,43.48,53.06,50.35,46.81,43.52,41.34
2015,K리그1,1,5,2015-03-08 14:00:00,일,수원,포항,0,0,0,0,수원 월드컵 경기장,17573,맑음,0.0,0,52.0,12.0,4.0,11.0,3.0,0.0,1.0,1.0,12.0,1.0,48.0,14.0,3.0,15.0,6.0,0.0,1.0,4.0,17.0,2.0,65.13,60.69,54.5,54.36,47.23,48.95,34.87,39.31,45.5,45.64,52.77,51.05
2015,K리그1,1,6,2015-03-08 16:00:00,일,울산,서울,0,0,0,0,울산 문수 축구경기장,12786,맑음,0.0,0,42.0,11.0,6.0,13.0,0.0,0.0,0.0,3.0,19.0,6.0,58.0,7.0,5.0,15.0,3.0,0.0,0.0,4.0,18.0,3.0,35.9,34.95,35.81,43.24,46.7,48.14,64.1,65.05,64.19,56.76,53.3,51.86
2015,K리그1,2,7,2015-03-14 14:00:00,토,서울,전북,11,1,0,3,서울 월드컵 경기장,32516,맑음,0.0,0,52.0,8.0,4.0,12.0,1.0,0.0,0.0,4.0,13.0,1.0,48.0,10.0,5.0,18.0,4.0,0.0,1.0,4.0,20.0,2.0,42.88,48.44,47.81,46.37,52.61,56.31,57.12,51.56,52.19,53.63,47.39,43.69
2015,K리그1,2,8,2015-03-14 14:00:00,토,수원,인천,9,5,0,1,수원 월드컵 경기장,10207,맑음,0.0,0,51.0,10.0,8.0,12.0,0.0,0.0,0.0,6.0,15.0,3.0,49.0,7.0,5.0,17.0,1.0,0.0,0.0,4.0,18.0,1.0,51.49,54.78,49.37,62.36,54.03,52.34,48.51,45.22,50.63,37.64,45.97,47.66
2015,K리그1,2,9,2015-03-14 16:00:00,토,성남,전남,11,7,0,1,탄천 종합 운동장,6521,맑음,11.0,17,51.0,8.0,3.0,17.0,1.0,0.0,0.0,3.0,20.0,3.0,49.0,15.0,10.0,15.0,0.0,0.0,0.0,10.0,18.0,3.0,52.79,50.25,50.03,59.08,50.63,52.18,47.21,49.75,49.97,40.92,49.37,47.82
2015,K리그1,2,10,2015-03-15 14:00:00,일,대전,광주,12,8,0,1,대전 월드컵 경기장,11857,맑음,0.0,0,48.0,4.0,0.0,15.0,1.0,0.0,0.0,3.0,16.0,1.0,52.0,15.0,4.0,16.0,2.0,0.0,0.0,6.0,19.0,3.0,35.65,43.45,43.84,46.72,48.81,50.52,64.35,56.55,56.16,53.28,51.19,49.48
