Meet_Year,LEAGUE_NAME,Round,Game_Datetime,Day,HomeTeam,AwayTeam,Audience_Qty,Weather,Temperature,Humidity
2023,J리그1,1,2023-02-18 14:03:00,일,京都,鹿島,15988,흐림,9.2,71
2023,J리그1,1,2023-02-18 14:03:00,일,横浜FC,名古屋,11186,맑음,16.9,24
2023,J리그1,1,2023-02-17 19:04:00,일,川崎Ｆ,横浜FM,22563,맑음,7.2,49
2023,J리그1,1,2023-02-18 14:03:00,일,FC東京,浦和,38051,맑음,14.2,30
2023,J리그1,1,2023-02-18 14:03:00,일,Ｃ大阪,新潟,17928,흐림 때때로 비,11.6,55
2023,J리그1,1,2023-02-18 14:03:00,일,広島,札幌,13121,비,10.1,90
2023,J리그1,1,2023-02-18 14:03:00,일,神戸,福岡,18981,실내,13.1,53
2023,J리그1,1,2023-02-18 15:03:00,일,柏,Ｇ大阪,12334,맑음,15.3,34
2023,J리그1,2,2023-02-24 19:03:00,일,湘南,横浜FC,10006,비,10.2,81
2023,J리그1,1,2023-02-18 15:04:00,일,鳥栖,湘南,9663,비,13.8,88
2023,J리그1,2,2023-02-25 15:03:00,일,札幌,神戸,17078,실내,22,25
2023,J리그1,2,2023-02-25 14:03:00,일,横浜FM,浦和,34035,맑음,9.8,20
2023,J리그1,2,2023-02-25 15:03:00,일,Ｇ大阪,鳥栖,25865,맑음,7.1,47
2023,J리그1,2,2023-02-25 15:04:00,일,福岡,Ｃ大阪,9607,비,9.8,78
2023,J리그1,2,2023-02-25 16:03:00,일,鹿島,川崎Ｆ,28608,흐림 후 비,9.7,64
2023,J리그1,2,2023-02-25 16:03:00,일,名古屋,京都,21327,맑음,7.8,20
2023,J리그1,2,2023-02-26 14:03:00,일,広島,新潟,13266,맑음,10.7,30
2023,J리그1,2,2023-02-26 15:03:00,일,柏,FC東京,12833,맑음,10.4,20
2023,J리그1,3,2023-03-03 19:03:00,일,横浜FM,広島,10854,맑음,10.5,35
2023,J리그1,3,2023-03-04 13:03:00,일,川崎Ｆ,湘南,21171,맑음,15.8,24
2023,J리그1,3,2023-03-04 14:03:00,일,横浜FC,鹿島,10637,맑음,17.4,20
2023,J리그1,3,2023-03-04 14:03:00,일,新潟,札幌,25468,맑음,11.3,54
2023,J리그1,3,2023-03-04 14:03:00,일,京都,FC東京,13255,맑음,14,44
2023,J리그1,3,2023-03-04 14:03:00,일,神戸,Ｇ大阪,17781,맑음,13.4,32
2023,J리그1,3,2023-03-04 15:05:00,일,浦和,Ｃ大阪,18437,맑음,18.4,23
2023,J리그1,3,2023-03-04 15:03:00,일,福岡,柏,6210,맑음,16.1,36
2023,J리그1,3,2023-03-04 15:04:00,일,鳥栖,名古屋,7773,흐림,19.7,20
2023,J리그1,4,2023-03-11 14:03:00,일,新潟,川崎Ｆ,27288,맑음,14.7,49
2023,J리그1,4,2023-03-11 14:03:00,일,神戸,浦和,21223,맑음,20.1,20
2023,J리그1,4,2023-03-12 14:03:00,일,Ｃ大阪,鳥栖,15714,맑음,20.2,50
2023,J리그1,4,2023-03-12 15:05:00,일,札幌,横浜FM,17509,실내,23.1,24
2023,J리그1,4,2023-03-12 15:03:00,일,鹿島,福岡,20097,맑음,15.4,53
2023,J리그1,4,2023-03-12 15:03:00,일,柏,名古屋,9866,흐림,18.4,44
2023,J리그1,4,2023-03-12 15:03:00,일,FC東京,横浜FC,23752,흐림,20.9,30
2023,J리그1,4,2023-03-12 15:03:00,일,湘南,京都,10791,흐림,18.1,57
2023,J리그1,5,2023-03-18 14:03:00,일,横浜FM,鹿島,28478,비,8.6,90
2023,J리그1,4,2023-03-12 16:03:00,일,Ｇ大阪,広島,18765,흐림 때때로 맑음,19.8,60
2023,J리그1,5,2023-03-18 14:03:00,일,横浜FC,京都,3401,비,8.8,81
2023,J리그1,5,2023-03-18 14:03:00,일,名古屋,FC東京,33139,비 후 흐림,14,72
2023,J리그1,5,2023-03-18 15:03:00,일,浦和,新潟,15167,비,8.7,90
2023,J리그1,5,2023-03-18 15:03:00,일,Ｇ大阪,札幌,18550,흐림 때때로 맑음,13.6,60
2023,J리그1,5,2023-03-18 15:04:00,일,鳥栖,神戸,12230,맑음,19.5,33
2023,J리그1,5,2023-03-18 16:03:00,일,川崎Ｆ,Ｃ大阪,19054,비 후 흐림,9.7,77
2023,J리그1,5,2023-03-19 14:03:00,일,福岡,湘南,6455,맑음,17.5,50
2023,J리그1,5,2023-03-19 14:03:00,일,広島,柏,15749,맑음,20.4,20
2023,J리그1,6,2023-03-31 19:03:00,일,柏,浦和,11620,흐림,15.3,74
2023,J리그1,6,2023-04-01 14:03:00,일,横浜FC,福岡,4876,맑음,21.7,29
2023,J리그1,6,2023-04-01 14:03:00,일,京都,神戸,16495,맑음,25.1,20
2023,J리그1,6,2023-04-01 14:03:00,일,新潟,名古屋,18428,맑음,14.6,45
2023,J리그1,6,2023-04-01 15:03:00,일,鹿島,広島,15414,맑음,17.5,38
2023,J리그1,6,2023-04-01 15:03:00,일,湘南,Ｇ大阪,11966,맑음,20.2,49
2023,J리그1,6,2023-04-01 15:04:00,일,鳥栖,FC東京,8548,맑음,24.2,21
2023,J리그1,6,2023-04-01 16:03:00,일,Ｃ大阪,横浜FM,18955,맑음,22.6,28
2023,J리그1,6,2023-04-01 19:03:00,일,札幌,川崎Ｆ,14654,실내,21.4,34
2023,J리그1,7,2023-04-08 19:03:00,일,横浜FM,横浜FC,25238,비 후 흐림,12.3,32
2023,J리그1,7,2023-04-09 14:03:00,일,Ｃ大阪,札幌,11952,맑음,17,33
2023,J리그1,7,2023-04-09 14:03:00,일,神戸,新潟,17391,맑음,15.8,27
2023,J리그1,7,2023-04-09 14:03:00,일,広島,鳥栖,13681,맑음,18.2,24
2023,J리그1,7,2023-04-09 15:04:00,일,FC東京,湘南,20949,맑음,16.8,20
2023,J리그1,7,2023-04-09 15:03:00,일,名古屋,浦和,22655,맑음,16.2,25
2023,J리그1,7,2023-04-09 15:03:00,일,Ｇ大阪,川崎Ｆ,20734,맑음,16.4,34
2023,J리그1,7,2023-04-09 15:03:00,일,福岡,京都,6341,맑음,17.6,49
2023,J리그1,7,2023-04-09 19:03:00,일,柏,鹿島,11421,맑음,13.2,44
2023,J리그1,8,2023-04-15 14:03:00,일,横浜FC,広島,3935,비,15.2,80
2023,J리그1,8,2023-04-15 14:03:00,일,新潟,福岡,16692,흐림,19,58
2023,J리그1,8,2023-04-15 15:03:00,일,浦和,札幌,38574,비,16.1,90
2023,J리그1,8,2023-04-15 15:04:00,일,川崎Ｆ,名古屋,17304,비,15.4,83
2023,J리그1,8,2023-04-15 15:03:00,일,湘南,横浜FM,9355,비,15.1,87
2023,J리그1,8,2023-04-15 15:04:00,일,鳥栖,柏,6418,흐림 때때로 맑음,19.3,58
2023,J리그1,8,2023-04-15 16:03:00,일,鹿島,神戸,15311,비,14.4,90
2023,J리그1,8,2023-04-15 16:03:00,일,FC東京,Ｃ大阪,16939,비,15.5,82
2023,J리그1,8,2023-04-15 16:03:00,일,京都,Ｇ大阪,13463,비 후 흐림,15,79
2023,J리그1,9,2023-04-22 19:03:00,일,神戸,横浜FM,22164,맑음,13.6,20
2023,J리그1,9,2023-04-22 14:04:00,일,広島,FC東京,13801,맑음,23,20
2023,J리그1,9,2023-04-23 14:03:00,일,札幌,福岡,12495,실내,22,34
2023,J리그1,9,2023-04-23 14:03:00,일,新潟,鹿島,23920,맑음,14.2,38
2023,J리그1,9,2023-04-23 14:04:00,일,京都,鳥栖,8138,맑음,20.4,20
2023,J리그1,9,2023-04-23 14:03:00,일,Ｃ大阪,柏,10673,맑음,21.7,25
2023,J리그1,9,2023-04-23 15:03:00,일,名古屋,湘南,17243,맑음,20.1,20
2023,J리그1,9,2023-04-23 16:03:00,일,川崎Ｆ,浦和,22304,맑음,17.9,24
2023,J리그1,9,2023-04-23 16:03:00,일,Ｇ大阪,横浜FC,14577,맑음,18.7,20
2023,J리그1,10,2023-04-29 14:03:00,일,横浜FC,札幌,7634,맑음,22.4,38
2023,J리그1,10,2023-04-29 14:03:00,일,Ｃ大阪,広島,16151,흐림 후 비,22.9,53
2023,J리그1,10,2023-04-29 14:03:00,일,神戸,湘南,17390,실내,22.1,50
2023,J리그1,10,2023-04-29 15:03:00,일,柏,京都,9065,맑음,21.5,47
2023,J리그1,10,2023-04-29 15:03:00,일,FC東京,新潟,32181,맑음 후 흐림,22.5,47
2023,J리그1,10,2023-04-29 15:03:00,일,横浜FM,名古屋,33048,맑음,21.3,42
2023,J리그1,10,2023-04-29 17:03:00,일,福岡,川崎Ｆ,9053,비,20.3,85
2023,J리그1,11,2023-05-03 14:03:00,일,札幌,鹿島,19038,실내,23.6,41
2023,J리그1,10,2023-04-29 19:03:00,일,鹿島,Ｇ大阪,20525,흐림,19.1,68
2023,J리그1,11,2023-05-03 14:03:00,일,京都,川崎Ｆ,15504,맑음,24.4,38
2023,J리그1,11,2023-05-03 14:03:00,일,Ｇ大阪,Ｃ大阪,34517,맑음,22.8,44
2023,J리그1,11,2023-05-03 15:03:00,일,湘南,柏,12342,맑음,23.8,48
2023,J리그1,11,2023-05-03 15:03:00,일,名古屋,神戸,40789,맑음,23,31
2023,J리그1,11,2023-05-03 15:03:00,일,福岡,FC東京,10360,맑음,24.5,41
2023,J리그1,11,2023-05-03 15:04:00,일,鳥栖,横浜FM,11354,맑음 후 흐림,25.8,20
2023,J리그1,11,2023-05-03 19:03:00,일,横浜FC,新潟,10134,맑음,19,53
2023,J리그1,12,2023-05-06 14:03:00,일,札幌,FC東京,19080,맑음,23.5,47
2023,J리그1,12,2023-05-06 19:03:00,일,名古屋,Ｇ大阪,28613,흐림 일시 비,21.9,68
2023,J리그1,12,2023-05-07 13:01:00,일,広島,福岡,10415,비,17.4,90
2023,J리그1,12,2023-05-07 14:03:00,일,横浜FM,京都,22160,비,17.8,86
2023,J리그1,12,2023-05-07 14:03:00,일,新潟,柏,17998,비,16,90
2023,J리그1,12,2023-05-07 14:03:00,일,Ｃ大阪,鹿島,12676,비,20.8,90
2023,J리그1,12,2023-05-07 14:03:00,일,神戸,横浜FC,20005,실내,21.6,77
2023,J리그1,12,2023-05-07 15:03:00,일,川崎Ｆ,鳥栖,17674,비,16.1,82
2023,J리그1,10,2023-05-10 19:33:00,일,浦和,鳥栖,17970,맑음,20,58
2023,J리그1,13,2023-05-12 19:34:00,일,FC東京,川崎Ｆ,56705,흐림,19.9,54
2023,J리그1,13,2023-05-13 14:03:00,일,神戸,広島,15741,실내,21.7,54
2023,J리그1,13,2023-05-13 15:03:00,일,湘南,札幌,7694,비,19.4,76
2023,J리그1,13,2023-05-13 16:03:00,일,柏,横浜FC,8111,비 때때로 흐림,18.9,56
2023,J리그1,13,2023-05-14 13:35:00,일,鹿島,名古屋,56020,흐림,23.3,39
2023,J리그1,13,2023-05-14 13:34:00,일,新潟,横浜FM,24501,흐림 때때로 맑음,22.8,48
2023,J리그1,13,2023-05-14 13:34:00,일,京都,Ｃ大阪,12917,비 후 흐림,18.9,60
2023,J리그1,13,2023-05-14 13:34:00,일,福岡,鳥栖,13719,맑음,23.6,65
2023,J리그1,13,2023-05-14 16:04:00,일,浦和,Ｇ大阪,31440,흐림 후 비,19.1,66
2023,J리그1,14,2023-05-19 19:34:00,일,札幌,京都,10289,실내,24.2,48
2023,J리그1,14,2023-05-20 13:03:00,일,福岡,浦和,10417,맑음,23.1,64
2023,J리그1,14,2023-05-20 15:03:00,일,鹿島,FC東京,17589,흐림,18.5,62
2023,J리그1,14,2023-05-20 15:03:00,일,名古屋,広島,15506,맑음,26.3,50
2023,J리그1,14,2023-05-20 15:04:00,일,湘南,Ｃ大阪,10549,맑음,24.7,51
2023,J리그1,14,2023-05-20 16:03:00,일,横浜FC,川崎Ｆ,10276,맑음,22.6,56
2023,J리그1,14,2023-05-20 19:03:00,일,Ｇ大阪,横浜FM,19823,맑음,19.6,74
2023,J리그1,14,2023-05-20 17:05:00,일,鳥栖,新潟,7265,맑음,24.6,45
2023,J리그1,14,2023-05-20 16:03:00,일,柏,神戸,12530,맑음,24.1,49
2023,J리그1,15,2023-05-27 13:03:00,일,札幌,名古屋,11711,실내,23.5,53
2023,J리그1,15,2023-05-27 14:03:00,일,神戸,FC東京,20414,맑음,25.4,43
2023,J리그1,15,2023-05-27 14:04:00,일,広島,湘南,11916,맑음,28.3,25
2023,J리그1,15,2023-05-27 17:04:00,일,鳥栖,鹿島,9272,맑음,28.3,34
2023,J리그1,15,2023-05-27 19:03:00,일,京都,浦和,15229,흐림,23.2,65
2023,J리그1,15,2023-05-28 14:03:00,일,横浜FM,福岡,26115,맑음,23.8,45
