game_id,datetime,home_team,away_team,stadium,audience,weather,temp,humidity,broadcast
1,2025-02-15 13:00:00,포항,대전,포항 스틸야드,10519,맑음,10.0,43,"skySports, COUPANGPLAY"
2,2025-02-15 15:30:00,제주,서울,제주 월드컵 경기장,11049,흐리고 비,9.0,83,"skySports, COUPANGPLAY"
3,2025-02-15 16:30:00,광주,수원FC,광주 월드컵 경기장,4690,흐림,7.0,60,"IB SPORTS, COUPANGPLAY"
4,2025-02-16 14:00:00,울산,안양,울산 문수 축구경기장,18718,맑음,13.0,30,"skySports, COUPANGPLAY"
5,2025-02-16 16:30:00,전북,김천,전주 월드컵 경기장,19619,맑음,11.0,57,"skySports, KFN, COUPANGPLAY"
6,2025-02-16 16:30:00,대구,강원,대구iM뱅크PARK,12240,맑음,12.1,34,"IB SPORTS, COUPANGPLAY"
7,2025-02-22 14:00:00,제주,김천,제주 월드컵 경기장,5733,맑음,4.0,62,"skySports, KFN, COUPANGPLAY"
8,2025-02-22 16:30:00,서울,안양,서울 월드컵 경기장,41415,맑음,0.9,34,"skySports, COUPANGPLAY"
9,2025-02-22 16:30:00,대구,수원FC,대구iM뱅크PARK,12098,맑음,4.4,21,"IB SPORTS, COUPANGPLAY"
10,2025-02-23 14:00:00,대전,울산,대전 월드컵 경기장,19628,눈,0.7,34,"skySports, COUPANGPLAY"
11,2025-02-23 16:30:00,전북,광주,전주 월드컵 경기장,15393,흐림,1.0,41,"skySports, COUPANGPLAY"
12,2025-02-23 16:30:00,강원,포항,춘천 송암 스포츠타운,6539,맑음,0.5,23,"IB SPORTS, COUPANGPLAY"
13,2025-03-01 14:00:00,울산,전북,울산 문수 축구경기장,26317,흐림,17.1,41,"skySports, COUPANGPLAY"
14,2025-03-01 16:30:00,포항,대구,포항 스틸야드,11207,흐림,17.0,41,"IB SPORTS, COUPANGPLAY"
15,2025-03-01 16:30:00,광주,안양,광주 월드컵 경기장,3319,흐림,13.0,85,"skySports, COUPANGPLAY"
16,2025-03-02 14:00:00,대전,수원FC,대전 월드컵 경기장,7220,흐림,12.7,78,"skySports, COUPANGPLAY"
17,2025-03-02 16:30:00,강원,제주,춘천 송암 스포츠타운,5009,비,8.6,62,"IB SPORTS, COUPANGPLAY"
18,2025-03-03 14:00:00,서울,김천,서울 월드컵 경기장,24889,맑음,4.9,48,"SBS, skySports, COUPANGPLAY"
19,2025-03-08 14:00:00,수원FC,서울,수원 종합 운동장,8661,맑음,9.1,30,"skySports, COUPANGPLAY"
20,2025-03-08 16:30:00,대구,대전,대구iM뱅크PARK,12168,흐림,10.4,49,"skySports, COUPANGPLAY"
21,2025-03-08 16:30:00,안양,김천,안양 종합 운동장,13579,맑음,10.0,25,"IB SPORTS, KFN, COUPANGPLAY"
22,2025-03-09 14:00:00,울산,제주,울산 문수 축구경기장,16749,맑음,11.2,32,"skySports, COUPANGPLAY"
23,2025-03-22 16:30:00,광주,포항,광주 월드컵 경기장,4544,맑음,20.5,30,"IB SPORTS, COUPANGPLAY"
