순위,대회,클럽명,선수명,등 번호,포지션,포인트,공격,패스,수비,수비.골키퍼,골키퍼,기타,공격상세,득점,득점(PK),페널티 지역 밖 골,유효슈팅,드리블성공,PK실축,패스상세,도움,패스성공,키패스,크로스성공,수비상세,태클,블락,인터셉터,그라운드 경합,공중볼경합,PK제공,수비.골키퍼상세,실점,클린시트,클리어,골키퍼상세,펀칭,캐칭,공중볼 처리,PK선방,기타상세,자책골,승리,패배,획득,볼미스,경고,경고누적,퇴장
1,K리그 1,서울,안데르손,70,FW,47593,17990,19294,6670,75,0,3564,,11200(7),0(0),1000(1),4350(29),1440(18),0(0),,6500(13),2334(1167),9300(62),1160(29),,570(22),155(31),1015(29),4830(32),100(10),0(0),,0(0),0(8),75(3),,0(0),0(0),0(0),0(0),,0(0),4500(15),-4500(15),3990(266),-126(42),-300(3),0(0),0(0)
2,K리그 1,수원,일류첸코,9,FW,47488,26010,7896,11115,750,0,1717,,20800(13),550(1),0(0),4500(30),160(2),0(0),,2500(5),1006(503),4350(29),40(1),,375(15),135(27),245(7),9150(61),1210(121),0(0),,0(0),0(13),750(30),,0(0),0(0),0(0),0(0),,0(0),4200(14),-3600(12),1680(112),-63(21),-500(5),0(0),0(0)
3,K리그 1,강원,양민혁,47,FW,46447,26730,9490,5375,225,0,4627,,19200(12),0(0),3000(3),4050(27),480(6),0(0),,3000(6),1360(680),4650(31),480(12),,1165(35),265(53),925(24),2760(16),260(16),0(0),,0(0),0(8),225(9),,0(0),0(0),0(0),0(0),,0(0),5700(19),-3600(12),2865(191),-138(46),-200(2),0(0),0(0)
4,K리그 1,서울,정승원,7,MF,45168,24240,10476,6320,775,0,3357,,16000(10),550(1),4000(4),3450(23),240(3),0(0),,3000(6),2056(1028),4500(30),920(23),,650(22),240(48),1630(43),3480(21),320(21),0(0),,0(0),0(8),775(31),,0(0),0(0),0(0),0(0),,0(0),4500(15),-4500(15),3705(247),-48(16),-300(3),0(0),0(0)
5,K리그 1,대구,세징야,11,FW,45048,23830,14860,4635,250,0,1473,,14400(9),1100(2),3000(3),5400(36),480(6),-550(1),,4000(8),1780(890),7200(48),1880(47),,555(21),115(23),765(21),3000(20),200(17),0(0),,0(0),0(6),250(10),,0(0),0(0),0(0),0(0),,0(0),2700(9),-3600(12),2775(185),-102(34),-300(3),0(0),0(0)
6,K리그 1,울산,야고,99,FW,44824,26810,5214,8820,225,0,3755,,19200(12),550(1),3000(3),4350(29),160(2),-450(1),,1000(2),614(307),3600(24),0(0),,200(8),115(23),315(9),7200(48),990(99),0(0),,0(0),0(9),225(9),,0(0),0(0),0(0),0(0),,0(0),5100(17),-2400(8),1515(101),-60(20),-400(4),0(0),0(0)
7,K리그 1,울산,이동경,10,MF,44424,28290,10964,2935,50,0,2185,,17600(11),650(1),4000(4),5400(36),640(8),0(0),,3000(6),1294(647),5550(37),1120(28),,495(15),155(31),465(12),1710(10),110(6),0(0),,0(0),0(9),50(2),,0(0),0(0),0(0),0(0),,0(0),3600(12),-2700(9),1860(124),-75(25),-500(5),0(0),0(0)
8,K리그 1,대전,주민규,10,FW,40978,21510,6422,10590,450,0,2006,,16000(10),0(0),1000(1),4800(32),160(2),-450(1),,2000(4),822(411),3600(24),0(0),,275(11),20(4),315(9),9450(63),530(53),0(0),,0(0),0(12),450(18),,0(0),0(0),0(0),0(0),,0(0),4800(16),-2400(8),1275(85),-69(23),-100(1),0(0),-1500(1)
9,K리그 1,울산,조현우,21,GK,38420,0,10930,-1470,-12175,29620,11515,,0(0),0(0),0(0),0(0),0(0),0(0),,0(0),10930(1093),0(0),0(0),,20(1),0(0),510(17),0(0),0(0),-2000(2),,-24000(-24000),11200(14),625(25),,14000(70),11250(45),370(37),4000(2),,0(0),10500(21),-800(8),2115(141),0(0),-300(3),0(0),0(0)
10,K리그 1,강원,이상헌,22,FW,38182,22940,8236,3000,200,0,3806,,17600(11),1100(2),0(0),4050(27),640(8),-450(1),,3000(6),1286(643),3750(25),200(5),,360(14),85(17),455(13),2040(13),60(5),0(0),,0(0),0(7),200(8),,0(0),0(0),0(0),0(0),,0(0),5400(18),-3600(12),2175(145),-69(23),-100(1),0(0),0(0)
11,K리그 1,포항,완델손,77,DF,36492,10650,11402,14120,-3950,0,4270,,6400(4),0(0),2000(2),1650(11),600(13),0(0),,1000(2),2992(1496),5850(39),1560(39),,2635(55),1675(89),4170(71),3630(29),2010(42),0(0),,-8600(-8600),3200(8),1450(58),,0(0),0(0),0(0),0(0),,0(0),4200(14),-3900(13),4260(284),-90(30),-200(2),0(0),0(0)
12,K리그 1,인천,무고사,9,FW,34077,26430,3570,4450,600,0,-973,,17600(11),2200(4),1000(1),5550(37),80(1),0(0),,500(1),780(390),2250(15),40(1),,150(6),80(16),210(6),3300(22),710(71),0(0),,0(0),0(11),600(24),,0(0),0(0),0(0),0(0),,0(0),2700(9),-5100(17),1905(127),-78(26),-400(4),0(0),0(0)
13,K리그 1,전북,이승우,11,FW,33691,22720,7430,1440,75,0,2026,,16000(10),1200(2),1000(1),4200(28),320(4),0(0),,3000(6),1080(540),3150(21),200(5),,230(8),65(13),105(3),930(6),110(7),0(0),,0(0),0(9),75(3),,0(0),0(0),0(0),0(0),,0(0),3900(13),-3000(10),1395(93),-69(23),-200(2),0(0),0(0)
14,K리그 1,울산,고승범,7,MF,33316,9440,6776,8175,900,0,8025,,6400(4),0(0),1000(1),1800(12),240(3),0(0),,1500(3),2526(1263),2550(17),200(5),,1155(33),320(64),1560(39),4680(26),460(23),0(0),,0(0),0(14),900(36),,0(0),0(0),0(0),0(0),,0(0),5700(19),-1200(4),3870(258),-45(15),-300(3),0(0),0(0)
15,K리그 1,울산,루빅손,17,MF,32939,15840,7008,4890,275,0,4926,,11200(7),0(0),2000(2),2400(16),240(3),0(0),,2500(5),908(454),3000(20),600(15),,670(19),330(39),1000(25),2610(18),280(18),0(0),,-600(-600),400(11),475(19),,0(0),0(0),0(0),0(0),,0(0),3900(13),-600(2),1680(112),-54(18),0(0),0(0),0(0)
16,K리그 1,강원,김대원,7,FW,30064,11920,13338,1645,150,0,3011,,6400(4),550(1),3000(3),2100(14),320(4),-450(1),,4000(8),1008(504),7050(47),1280(32),,360(14),165(33),590(16),450(3),80(6),0(0),,0(0),0(12),150(6),,0(0),0(0),0(0),0(0),,0(0),3600(12),-2400(8),1965(131),-54(18),-100(1),0(0),0(0)
17,K리그 1,포항,오베르단,8,MF,28790,7630,8616,8365,1550,0,2629,,4800(3),0(0),1000(1),1350(9),480(6),0(0),,1000(2),3966(1983),3450(23),200(5),,1260(36),345(69),2320(58),3600(20),840(42),0(0),,0(0),0(8),1550(62),,0(0),0(0),0(0),0(0),,0(0),3900(13),-3300(11),3795(253),-66(22),-300(3),-1400(1),0(0)
18,K리그 1,대전,서진수,19,FW,28532,10590,9450,7160,575,0,757,,4800(3),0(0),2000(2),3150(21),640(8),0(0),,1500(3),1080(540),6150(41),720(18),,350(12),155(31),515(14),5700(37),440(34),0(0),,0(0),0(11),575(23),,0(0),0(0),0(0),0(0),,0(0),4500(15),-5700(19),2265(151),-108(36),-200(2),0(0),0(0)
19,K리그 1,대전,이창근,1,GK,28372,0,9730,850,-17075,27470,7397,,0(0),0(0),0(0),0(0),0(0),0(0),,1500(1),7930(793),300(1),0(0),,40(2),0(1),810(27),0(0),0(0),0(0),,-25200(-25200),7200(9),925(37),,11400(57),13500(54),570(57),2000(1),,0(0),6000(12),-1200(12),2700(180),-3(1),-100(1),0(0),0(0)
20,K리그 1,대전,김봉수,30,MF,28177,950,6836,10070,4100,0,6221,,0(0),0(0),0(0),750(5),200(3),0(0),,500(1),4116(2058),2100(14),120(3),,1385(31),915(72),2280(43),3660(29),1830(48),0(0),,-4200(-4200),4800(17),3500(140),,0(0),0(0),0(0),0(0),,0(0),5400(18),-3300(11),4545(303),-24(8),-400(4),0(0),0(0)
21,K리그 1,포항,이호재,19,FW,27393,15480,5052,4450,250,0,2161,,9600(6),1650(3),1000(1),3150(21),80(1),0(0),,2500(5),522(261),1950(13),80(2),,125(5),30(6),245(7),3750(25),300(30),0(0),,0(0),0(7),250(10),,0(0),0(0),0(0),0(0),,0(0),3600(12),-2100(7),885(59),-24(8),-200(2),0(0),0(0)
22,K리그 1,대전,정재희,27,FW,27137,16130,6828,2025,-225,0,2379,,12800(8),0(0),1000(1),2250(15),80(1),0(0),,1500(3),898(449),3750(25),680(17),,165(5),105(21),415(11),1020(6),320(18),0(0),,-400(-400),0(8),175(7),,0(0),0(0),0(0),0(0),,0(0),3900(13),-3600(12),2145(143),-66(22),0(0),0(0),0(0)
23,K리그 1,광주,가브리엘,11,FW,26871,14530,5806,7490,500,0,-1455,,11200(7),0(0),0(0),2850(19),480(6),0(0),,2500(5),686(343),2100(14),520(13),,860(26),225(45),905(23),4650(28),850(49),0(0),,0(0),0(6),500(20),,0(0),0(0),0(0),0(0),,-1500(1),4200(14),-5400(18),1635(109),-90(30),-300(3),0(0),0(0)
