Year,League,Country,Country_Rank,Team,Player,Pay
2025,J리그1,내국인,1,神戸,오사코 유야,34.2
2025,J리그1,내국인,2,神戸,무토 요시노리,17.1
2025,J리그1,내국인,3,神戸,사카이 고토쿠,16.2
2025,J리그1,내국인,4,浦和,사카이 히로키,13.5
2025,J리그1,내국인,5,川崎Ｆ,이에나가 아키히로,10.8
2025,J리그1,외국인,1,名古屋,카스퍼 융커,22.1
2025,J리그1,외국인,2,横浜FM,안데르손 로페즈,18.9
2025,J리그1,외국인,3,川崎Ｆ,바페팀비 고미스,16.2
2025,J리그1,외국인,4,FC東京,디에고 올리베이라,16.2
2025,J리그1,외국인,5,町田,에리키,15.8
2024,J리그1,내국인,1,神戸,오사코 유야,34.2
2024,J리그1,내국인,2,神戸,무토 요시노리,17.1
2024,J리그1,내국인,3,神戸,사카이 고토쿠,16.2
2024,J리그1,내국인,4,浦和,사카이 히로키,13.5
2024,J리그1,내국인,5,川崎Ｆ,이에나가 아키히로,10.8
2024,J리그1,외국인,1,名古屋,카스퍼 융커,18.0
2024,J리그1,외국인,2,横浜FM,안데르손 로페즈,18.0
2024,J리그1,외국인,3,FC東京,디에고 올리베이라,16.2
2024,J리그1,외국인,4,川崎Ｆ,바페팀비 고미스,13.5
2024,J리그1,외국인,5,名古屋,미첼 랭저랙,13.5
2023,J리그1,내국인,1,神戸,오사코 유야,34.2
2023,J리그1,내국인,2,神戸,사카이 고토쿠,18.0
2023,J리그1,내국인,3,神戸,무토 요시노리,17.1
2023,J리그1,내국인,4,浦和,사카이 히로키,13.5
2023,J리그1,내국인,5,川崎Ｆ,이에나가 아키히로,10.8
2023,J리그1,외국인,1,神戸,안드레스 이니에스타,180.0
2023,J리그1,외국인,2,名古屋,미첼 랭저랙,16.2
2023,J리그1,외국인,3,鹿島,디에고 피투카,12.2
2023,J리그1,외국인,4,名古屋,카스퍼 융커,11.7
2023,J리그1,외국인,5,FC東京,디에고 올리베이라,11.2
2022,J리그1,내국인,1,神戸,오사코 유야,36.0
2022,J리그1,내국인,2,神戸,사카이 고토쿠,18.0
2022,J리그1,내국인,3,神戸,야마구치 호타루,9.0
2022,J리그1,내국인,4,浦和,사카이 히로키,9.0
2022,J리그1,내국인,5,川崎Ｆ,이에나가 아키히로,9.0
2022,J리그1,외국인,1,神戸,안드레스 이니에스타,180.0
2022,J리그1,외국인,2,名古屋,미첼 랭저랙,16.2
2022,J리그1,외국인,3,Ｇ大阪,레안드로 페레이라,13.5
2022,J리그1,외국인,4,鹿島,디에고 피투카,10.8
2022,J리그1,외국인,5,川崎Ｆ,레안드로 다미앙,10.8
2021,J리그1,내국인,1,神戸,사카이 고토쿠,12.6
2021,J리그1,내국인,2,神戸,야마구치 호타루,9.0
2021,J리그1,내국인,3,Ｃ大阪,키요타케 히로시,9.0
2021,J리그1,내국인,4,浦和,니시카와 슈사쿠,9.0
2021,J리그1,내국인,5,浦和,카시와기 요스케,9.0
2021,J리그1,외국인,1,神戸,안드레스 이니에스타,292.5
2021,J리그1,외국인,2,神戸,토마스 베르마엘렌,45.0
2021,J리그1,외국인,3,神戸,더글라스,18.0
2021,J리그1,외국인,4,神戸,세르지 삼페르,13.5
2021,J리그1,외국인,5,名古屋,미첼 랭저랙,13.5
2020,J리그1,내국인,1,神戸,사카이 고토쿠,12.6
2020,J리그1,내국인,2,神戸,야마구치 호타루,9.0
2020,J리그1,내국인,3,浦和,니시카와 슈사쿠,9.0
2020,J리그1,내국인,4,Ｃ大阪,키요타케 히로시,9.0
2020,J리그1,내국인,5,Ｇ大阪,엔도 야스히토,9.0
2020,J리그1,외국인,1,神戸,안드레스 이니에스타,292.5
2020,J리그1,외국인,2,神戸,토마스 베르마엘렌,45.0
2020,J리그1,외국인,3,名古屋,조(Jo),31.5
2020,J리그1,외국인,4,神戸,더글라스,18.0
2020,J리그1,외국인,5,神戸,세르지 삼페르,13.5
2019,J리그1,내국인,1,Ｃ大阪,키요타케 히로시,9.0
2019,J리그1,내국인,2,神戸,야마구치 호타루,9.0
2019,J리그1,내국인,3,浦和,니시카와 슈사쿠,9.0
2019,J리그1,내국인,4,浦和,마키노 토모아키,9.0
2019,J리그1,내국인,5,Ｇ大阪,엔도 야스히토,9.0
2019,J리그1,외국인,1,神戸,안드레스 이니에스타,292.5
2019,J리그1,외국인,2,鳥栖,페르난도 토레스,72.0
2019,J리그1,외국인,3,神戸,루카스 포돌스키,54.0
2019,J리그1,외국인,4,名古屋,조(Jo),36.0
2019,J리그1,외국인,5,神戸,다비드 비야,27.0
2018,J리그1,내국인,1,Ｇ大阪,엔도 야스히토,13.5
2018,J리그1,내국인,2,Ｃ大阪,키요타케 히로시,10.8
2018,J리그1,내국인,3,浦和,마키노 토모아키,9.0
2018,J리그1,내국인,4,浦和,니시카와 슈사쿠,9.0
2018,J리그1,내국인,5,Ｇ大阪,콘노 야스유키,9.0
2018,J리그1,외국인,1,神戸,안드레스 이니에스타,292.5
2018,J리그1,외국인,2,鳥栖,페르난도 토레스,72.0
2018,J리그1,외국인,3,神戸,루카스 포돌스키,54.0
2018,J리그1,외국인,4,名古屋,조(Jo),31.5
2018,J리그1,외국인,5,神戸,레안드로,14.4
2017,J리그1,내국인,1,Ｇ大阪,엔도 야스히토,13.5
2017,J리그1,내국인,2,Ｃ大阪,키요타케 히로시,10.8
2017,J리그1,내국인,3,浦和,마키노 토모아키,9.0
2017,J리그1,내국인,4,浦和,니시카와 슈사쿠,9.0
2017,J리그1,내국인,5,Ｇ大阪,콘노 야스유키,9.0
2017,J리그1,외국인,1,神戸,레안드로,14.4
2017,J리그1,외국인,2,Ｃ大阪,김진현,9.0
2017,J리그1,외국인,3,清水,정대세,9.0
2017,J리그1,외국인,4,神戸,닐톤,7.6
2017,J리그1,외국인,5,鹿島,페드로 주니오르,7.2
2016,J리그1,내국인,1,Ｇ大阪,엔도 야스히토,14.4
2016,J리그1,내국인,2,横浜FM,나카무라 슌스케,11.7
